0,1,2,3,4,5,6,7,8,9,10,11
17120.0,-0.401,-0.465,0.821,-1.068,-5.188,-1.373,11.0,-19.0,35.0,1746027544.7666523,0.0
17120.0,-0.413,-0.47,0.817,1.495,-2.014,1.282,12.0,-20.0,34.0,1746027544.7666535,0.0
17138.0,-0.435,-0.477,0.771,-0.916,1.251,1.099,11.0,-20.0,34.0,1746027544.8706117,0.0
17138.0,-0.429,-0.489,0.777,-2.045,2.96,-0.458,13.0,-19.0,34.0,1746027544.870612,0.0
17138.0,-0.417,-0.501,0.771,-2.106,0.763,-2.594,11.0,-20.0,33.0,1746027544.8706121,0.0
17155.0,-0.427,-0.484,0.764,-0.671,0.244,-0.824,12.0,-19.0,34.0,1746027544.9741817,0.0
17155.0,-0.417,-0.473,0.806,2.808,-1.343,1.526,11.0,-19.0,35.0,1746027544.974182,0.0
17155.0,-0.422,-0.466,0.789,2.136,-1.526,0.031,11.0,-20.0,35.0,1746027544.9741824,0.0
17170.0,-0.416,-0.486,0.798,1.434,-0.488,-2.38,12.0,-20.0,35.0,1746027545.074476,0.0
17170.0,-0.41,-0.497,0.773,0.305,-0.702,-2.716,11.0,-20.0,34.0,1746027545.0744767,0.0
17189.0,-0.413,-0.488,0.791,0.58,-0.519,-0.488,12.0,-20.0,33.0,1746027545.1789882,0.0
17189.0,-0.421,-0.48,0.782,1.434,-0.854,1.19,11.0,-20.0,34.0,1746027545.1789885,0.0
17189.0,-0.42,-0.487,0.8,1.16,0.519,1.099,12.0,-18.0,35.0,1746027545.1789887,0.0
17205.0,-0.422,-0.482,0.768,-0.183,-0.122,-0.305,12.0,-20.0,34.0,1746027545.2875528,0.0
17205.0,-0.417,-0.496,0.791,-1.404,-0.244,-1.007,11.0,-19.0,36.0,1746027545.2875533,0.0
17205.0,-0.414,-0.496,0.78,-0.641,-0.824,-0.275,11.0,-19.0,34.0,1746027545.2875535,0.0
17223.0,-0.421,-0.491,0.786,-0.58,-0.336,0.58,11.0,-19.0,35.0,1746027545.3763592,0.0
17223.0,-0.402,-0.495,0.796,-0.946,0.305,1.038,11.0,-19.0,35.0,1746027545.3763595,0.0
17237.0,-0.41,-0.489,0.784,-1.831,0.458,1.953,12.0,-20.0,34.0,1746027545.485604,0.0
17237.0,-0.433,-0.476,0.796,0.519,1.74,5.157,11.0,-20.0,35.0,1746027545.4856043,0.0
17237.0,-0.466,-0.477,0.746,1.007,3.632,4.913,12.0,-20.0,34.0,1746027545.4856048,0.0
17254.0,-0.461,-0.487,0.726,0.885,3.296,0.854,12.0,-20.0,35.0,1746027545.579508,0.0
17254.0,-0.42,-0.497,0.763,1.648,-3.113,-4.181,11.0,-19.0,34.0,1746027545.5795083,0.0
17270.0,-0.4,-0.481,0.81,6.042,-6.805,-4.425,11.0,-20.0,34.0,1746027545.68391,0.0
17270.0,-0.401,-0.484,0.81,4.486,-4.913,-2.594,11.0,-20.0,34.0,1746027545.6839104,0.0
17270.0,-0.418,-0.479,0.795,2.899,-1.373,-1.495,12.0,-19.0,34.0,1746027545.6839108,0.0
17288.0,-0.399,-0.512,0.782,-0.641,2.045,-0.427,13.0,-20.0,35.0,1746027545.7850256,0.0
17288.0,-0.421,-0.498,0.758,-1.465,-0.61,1.923,13.0,-20.0,34.0,1746027545.7850258,0.0
17303.0,-0.439,-0.478,0.778,1.923,0.885,6.165,12.0,-19.0,35.0,1746027545.8904696,0.0
17303.0,-0.439,-0.454,0.763,3.571,-2.106,4.028,12.0,-20.0,35.0,1746027545.89047,0.0
17303.0,-0.417,-0.485,0.798,3.479,-1.953,-1.404,12.0,-19.0,35.0,1746027545.8904705,0.0
17319.0,-0.391,-0.487,0.806,3.479,-5.493,-1.678,11.0,-20.0,36.0,1746027545.985176,0.0
17319.0,-0.421,-0.488,0.772,2.533,-3.54,2.502,11.0,-20.0,34.0,1746027545.9851763,0.0
17336.0,-0.411,-0.475,0.807,3.601,-1.434,4.944,12.0,-19.0,35.0,1746027546.0910642,0.0
17336.0,-0.403,-0.475,0.803,3.174,-3.693,5.28,13.0,-19.0,36.0,1746027546.0910645,0.0
17336.0,-0.434,-0.444,0.805,2.411,-3.143,6.439,13.0,-20.0,34.0,1746027546.0910647,0.0
17353.0,-0.415,-0.469,0.806,1.282,3.021,5.096,12.0,-19.0,36.0,1746027546.191812,0.0
17353.0,-0.442,-0.463,0.776,1.129,0.671,2.258,13.0,-20.0,36.0,1746027546.1918125,0.0
17368.0,-0.417,-0.488,0.785,0.122,4.028,0.641,13.0,-19.0,34.0,1746027546.2962685,0.0
17368.0,-0.444,-0.437,0.781,3.021,3.754,2.289,11.0,-20.0,36.0,1746027546.2962687,0.0
17368.0,-0.458,-0.462,0.785,5.707,1.678,1.434,12.0,-20.0,35.0,1746027546.2962692,0.0
17385.0,-0.471,-0.457,0.743,2.045,3.54,-1.831,13.0,-20.0,35.0,1746027546.3910332,0.0
17385.0,-0.422,-0.463,0.824,0.916,-3.143,-7.324,13.0,-20.0,35.0,1746027546.3910334,0.0
17401.0,-0.384,-0.484,0.798,1.892,0.0,-9.247,12.0,-20.0,36.0,1746027546.4949505,0.0
17401.0,-0.391,-0.488,0.8,0.488,-0.854,-6.348,12.0,-20.0,36.0,1746027546.4949508,0.0
17401.0,-0.428,-0.466,0.809,5.981,2.96,2.258,13.0,-19.0,35.0,1746027546.4949512,0.0
17418.0,-0.443,-0.441,0.8,5.127,3.021,3.693,13.0,-21.0,35.0,1746027546.596636,0.0
17418.0,-0.434,-0.476,0.775,1.221,2.777,-1.984,13.0,-19.0,35.0,1746027546.5966363,0.0
17418.0,-0.435,-0.473,0.771,-1.526,3.357,-4.303,13.0,-19.0,36.0,1746027546.5966368,0.0
17435.0,-0.431,-0.457,0.787,1.038,-0.397,-1.74,13.0,-20.0,35.0,1746027546.7051597,0.0
17435.0,-0.428,-0.463,0.809,5.127,-0.58,-1.007,13.0,-20.0,36.0,1746027546.70516,0.0
17452.0,-0.445,-0.462,0.781,4.059,1.099,-3.143,14.0,-19.0,35.0,1746027546.8014812,0.0
17452.0,-0.451,-0.476,0.771,3.51,4.73,-4.669,14.0,-19.0,35.0,1746027546.8014815,0.0
17452.0,-0.438,-0.464,0.759,-0.519,1.617,-7.66,13.0,-20.0,35.0,1746027546.8014815,0.0
17468.0,-0.38,-0.499,0.808,-2.533,-3.693,-9.735,12.0,-19.0,36.0,1746027546.8975525,0.0
17468.0,-0.367,-0.489,0.827,-1.77,-6.317,-4.303,13.0,-18.0,35.0,1746027546.8975527,0.0
17485.0,-0.388,-0.473,0.833,-0.763,-2.93,4.181,12.0,-19.0,35.0,1746027547.003094,0.0
17485.0,-0.427,-0.444,0.801,0.61,2.441,10.956,12.0,-20.0,33.0,1746027547.0030944,0.0
17485.0,-0.441,-0.45,0.784,-3.235,4.089,9.277,13.0,-20.0,36.0,1746027547.003095,0.0
17502.0,-0.446,-0.469,0.784,-2.411,1.434,4.944,11.0,-20.0,34.0,1746027547.1044683,0.0
17502.0,-0.459,-0.476,0.745,-1.556,2.777,1.221,13.0,-21.0,34.0,1746027547.1044688,0.0
17517.0,-0.457,-0.487,0.77,-0.092,1.892,-0.671,12.0,-21.0,34.0,1746027547.2025285,0.0
17517.0,-0.443,-0.477,0.759,0.336,-0.122,-1.984,12.0,-21.0,35.0,1746027547.2025287,0.0
17517.0,-0.441,-0.472,0.785,1.831,-0.854,-2.747,12.0,-20.0,34.0,1746027547.2025292,0.0
17533.0,-0.427,-0.478,0.78,1.862,-1.648,-3.632,12.0,-21.0,34.0,1746027547.309196,0.0
17533.0,-0.407,-0.479,0.789,1.373,-1.831,-3.601,12.0,-20.0,35.0,1746027547.3091962,0.0
17533.0,-0.404,-0.466,0.827,3.357,-3.906,-0.244,13.0,-20.0,35.0,1746027547.3091967,0.0
17551.0,-0.408,-0.471,0.797,2.808,-1.099,3.082,13.0,-20.0,35.0,1746027547.41112,0.0
17551.0,-0.434,-0.448,0.793,1.312,1.862,4.12,13.0,-19.0,34.0,1746027547.4111204,0.0
17569.0,-0.428,-0.463,0.793,1.831,-0.122,4.608,13.0,-19.0,34.0,1746027547.510834,0.0
17569.0,-0.437,-0.467,0.803,3.082,-0.031,4.639,13.0,-20.0,34.0,1746027547.5108342,0.0
17569.0,-0.459,-0.47,0.746,3.448,2.502,3.632,12.0,-20.0,35.0,1746027547.5108347,0.0
17584.0,-0.46,-0.479,0.753,4.028,3.876,1.923,13.0,-21.0,34.0,1746027547.6106946,0.0
