0,1,2,3,4,5
10413.0,4666.0,4690.0,701.0,1745636139.9386191,0.0
10413.0,4663.0,4691.0,705.0,1745636139.9386194,0.0
10413.0,4664.0,4700.0,700.0,1745636139.9386196,0.0
10429.0,4666.0,4701.0,681.0,1745636140.0389657,0.0
10429.0,4677.0,4702.0,686.0,1745636140.038966,0.0
10447.0,4666.0,4701.0,681.0,1745636140.1392891,0.0
10447.0,4670.0,4693.0,690.0,1745636140.1392896,0.0
10447.0,4668.0,4698.0,696.0,1745636140.1392899,0.0
10461.0,4654.0,4695.0,695.0,1745636140.2410035,0.0
10461.0,4655.0,4702.0,692.0,1745636140.2410038,0.0
10461.0,4663.0,4710.0,701.0,1745636140.241004,0.0
10478.0,4678.0,4700.0,703.0,1745636140.3427627,0.0
10478.0,4666.0,4699.0,693.0,1745636140.3427632,0.0
10495.0,4684.0,4698.0,709.0,1745636140.4457936,0.0
10495.0,4665.0,4684.0,706.0,1745636140.445794,0.0
10495.0,4667.0,4701.0,702.0,1745636140.4457943,0.0
10512.0,4671.0,4688.0,697.0,1745636140.5444634,0.0
10512.0,4671.0,4703.0,704.0,1745636140.5444639,0.0
10526.0,4667.0,4702.0,704.0,1745636140.648442,0.0
10526.0,4677.0,4708.0,704.0,1745636140.6484425,0.0
10526.0,4669.0,4687.0,697.0,1745636140.6484427,0.0
10543.0,4664.0,4689.0,703.0,1745636140.7441769,0.0
10543.0,4652.0,4703.0,702.0,1745636140.7441776,0.0
10560.0,4670.0,4688.0,680.0,1745636140.850338,0.0
10560.0,4664.0,4699.0,701.0,1745636140.8503385,0.0
10560.0,4667.0,4711.0,700.0,1745636140.8503387,0.0
10577.0,4671.0,4713.0,700.0,1745636140.9451017,0.0
10577.0,4661.0,4693.0,705.0,1745636140.9451025,0.0
10591.0,4657.0,4691.0,705.0,1745636141.0542228,0.0
10591.0,4650.0,4707.0,690.0,1745636141.0542233,0.0
10591.0,4669.0,4693.0,697.0,1745636141.0542235,0.0
10609.0,4662.0,4704.0,700.0,1745636141.1518087,0.0
10609.0,4661.0,4704.0,707.0,1745636141.1518092,0.0
10625.0,4674.0,4703.0,703.0,1745636141.257526,0.0
10625.0,4663.0,4690.0,710.0,1745636141.2575264,0.0
10625.0,4663.0,4679.0,705.0,1745636141.2575269,0.0
10642.0,4662.0,4698.0,695.0,1745636141.3584764,0.0
10642.0,4672.0,4702.0,697.0,1745636141.3584769,0.0
10658.0,4665.0,4700.0,708.0,1745636141.4595015,0.0
10658.0,4659.0,4710.0,700.0,1745636141.459502,0.0
10658.0,4667.0,4707.0,701.0,1745636141.4595022,0.0
10674.0,4663.0,4686.0,705.0,1745636141.5573637,0.0
10674.0,4654.0,4698.0,700.0,1745636141.5573642,0.0
10690.0,4661.0,4691.0,686.0,1745636141.66299,0.0
10690.0,4667.0,4698.0,690.0,1745636141.6629903,0.0
10690.0,4667.0,4707.0,700.0,1745636141.6629913,0.0
10708.0,4671.0,4701.0,697.0,1745636141.7713947,0.0
10708.0,4668.0,4698.0,707.0,1745636141.7713952,0.0
10708.0,4664.0,4693.0,705.0,1745636141.7713957,0.0
10724.0,4655.0,4701.0,698.0,1745636141.8612125,0.0
10724.0,4655.0,4707.0,691.0,1745636141.861213,0.0
10739.0,4663.0,4692.0,703.0,1745636141.9652104,0.0
10739.0,4676.0,4694.0,695.0,1745636141.965211,0.0
10739.0,4681.0,4705.0,708.0,1745636141.9652112,0.0
10755.0,4666.0,4690.0,706.0,1745636142.071129,0.0
10755.0,4659.0,4682.0,699.0,1745636142.0711293,0.0
10773.0,4673.0,4705.0,696.0,1745636142.1704457,0.0
10773.0,4667.0,4702.0,695.0,1745636142.170446,0.0
10773.0,4661.0,4696.0,710.0,1745636142.1704464,0.0
10789.0,4662.0,4707.0,684.0,1745636142.2720792,0.0
10789.0,4668.0,4702.0,694.0,1745636142.2720797,0.0
10804.0,4660.0,4683.0,707.0,1745636142.3716822,0.0
10804.0,4659.0,4703.0,695.0,1745636142.371683,0.0
10804.0,4659.0,4695.0,691.0,1745636142.371683,0.0
10821.0,4672.0,4687.0,696.0,1745636142.476106,0.0
10821.0,4670.0,4697.0,694.0,1745636142.4761064,0.0
10838.0,4657.0,4692.0,707.0,1745636142.5720417,0.0
10838.0,4670.0,4697.0,711.0,1745636142.5720422,0.0
10838.0,4658.0,4692.0,707.0,1745636142.5720425,0.0
10854.0,4656.0,4712.0,693.0,1745636142.6778617,0.0
10854.0,4661.0,4705.0,696.0,1745636142.677862,0.0
10870.0,4669.0,4691.0,704.0,1745636142.7776911,0.0
10870.0,4655.0,4698.0,698.0,1745636142.7776916,0.0
10870.0,4664.0,4713.0,695.0,1745636142.777692,0.0
