0,1,2,3,4,5
17108.0,1.519681,0.0,0.0,1746027544.7649431,0.0
17108.0,1.52135,0.0,0.0,1746027544.7649474,0.0
17126.0,1.523693,33.398,32.75,1746027544.868677,0.0
17143.0,1.524027,33.385,32.811,1746027544.9730928,0.0
17143.0,1.525033,33.385,32.811,1746027544.9730976,0.0
17160.0,1.528061,33.379,32.811,1746027545.0726984,0.0
17177.0,1.531777,33.379,32.811,1746027545.1777985,0.0
17177.0,1.535852,33.379,32.811,1746027545.177804,0.0
17193.0,1.539265,33.412,32.752,1746027545.287492,0.0
17211.0,1.541322,33.356,32.752,1746027545.3748076,0.0
17211.0,1.544069,33.356,32.752,1746027545.3748124,0.0
17227.0,1.545102,33.296,32.772,1746027545.4805205,0.0
17242.0,1.548556,33.296,32.772,1746027545.5777526,0.0
17242.0,1.549943,33.296,32.772,1746027545.577758,0.0
17258.0,1.550288,33.376,32.779,1746027545.6824389,0.0
17276.0,1.547863,33.446,32.828,1746027545.7803495,0.0
17276.0,1.546136,33.446,32.828,1746027545.7803547,0.0
17292.0,1.547171,33.335,32.828,1746027545.8882303,0.0
17308.0,1.546827,33.287,32.828,1746027545.9807932,0.0
17308.0,1.542351,33.287,32.828,1746027545.980798,0.0
17324.0,1.540977,33.287,32.727,1746027546.0910113,0.0
17341.0,1.540291,33.372,32.727,1746027546.186474,0.0
17341.0,1.543723,33.372,32.727,1746027546.1864789,0.0
17357.0,1.547518,33.303,32.823,1746027546.2948132,0.0
17374.0,1.553068,33.344,32.823,1746027546.3894312,0.0
17374.0,1.560766,33.344,32.823,1746027546.389436,0.0
17389.0,1.571387,33.344,32.823,1746027546.4933646,0.0
17389.0,1.581071,33.344,32.823,1746027546.493369,0.0
17406.0,1.591603,33.432,32.767,1746027546.5925517,0.0
17423.0,1.60228,33.293,32.767,1746027546.70121,0.0
17423.0,1.610848,33.293,32.767,1746027546.701215,0.0
17442.0,1.618374,33.34,32.852,1746027546.7942276,0.0
17456.0,1.626355,33.34,32.852,1746027546.8965633,0.0
17456.0,1.634411,33.34,32.852,1746027546.896568,0.0
17473.0,1.642159,33.36,32.859,1746027546.9995546,0.0
17490.0,1.653921,33.297,32.845,1746027547.1014738,0.0
17490.0,1.662253,33.297,32.845,1746027547.1014793,0.0
17507.0,1.669467,33.306,32.845,1746027547.2002957,0.0
17521.0,1.675523,33.306,32.845,1746027547.3073373,0.0
17521.0,1.680807,33.306,32.845,1746027547.3073423,0.0
17539.0,1.689413,33.345,32.82,1746027547.4057362,0.0
17557.0,1.696861,33.362,32.82,1746027547.5088005,0.0
17557.0,1.703118,33.362,32.82,1746027547.5088055,0.0
17574.0,1.709422,33.405,32.881,1746027547.6058407,0.0
17589.0,1.716624,33.405,32.881,1746027547.711367,0.0
17589.0,1.723459,33.405,32.881,1746027547.711372,0.0
17610.0,1.728187,33.388,32.881,1746027547.813684,0.0
17626.0,1.732077,33.31,32.776,1746027547.9137144,0.0
17626.0,1.737725,33.31,32.776,1746027547.9137192,0.0
17643.0,1.741218,33.347,32.776,1746027548.0135949,0.0
17658.0,1.741654,33.347,32.776,1746027548.1191933,0.0
17658.0,1.741218,33.347,32.776,1746027548.119198,0.0
17677.0,1.742972,33.434,32.717,1746027548.2164767,0.0
